team_name,long_name
Junior,Julio Avelino Comesaña López
Independiente Medellín,David González Giraldo
Vancouver Whitecaps,Vanni Sartini
Vancouver Whitecaps FC,Vanni Sartini
Eintracht Braunschweig,Michael Schiele
Dijon,Omar Daf
Dijon FCO,Omar Daf
Rosario Central,Carlos Alberto Tevez
Sion,Fabio Celestini
CFR Cluj,Dan Vasile Petrescu
Kaizer Chiefs,Arthur Zwane
Universidad Católica,Ariel Enrique Holan
Sporting Cristal,Roberto Orlando Mosquera Vera
Fatih Karagümrük,Andrea Pirlo
Nacional,Ricardo Alberto Zielinski
Melgar,Pablo Hernán Lavallén
New Zealand,Danny Hay
Frosinone,Fabio Grosso
Atlético Tucumán,Lucas Pusineri
Deportes Tolima,Hernán Torres Oliveros
Club Deportes Tolima,Hernán Torres Oliveros
Al Fateh,Giorgios Donis
Arouca,Armando Evangelista Macedo Freitas
FC Arouca,Armando Evangelista Macedo Freitas
Inter Miami,Phil Neville
Independiente del Valle,Martin Anselmi
Cincinnati,Pat Noonan
FC Cincinnati,Pat Noonan
UD Ibiza,Juan Antonio Albacete Anquela
Raków Częstochowa,Marek Papszun
Wuhan Three Towns,Pedro Morilla Pineda
Guingamp,Stéphane Dumont
En Avant de Guingamp,Stéphane Dumont
Hibernian,Lee Johnson
Derby County,Paul Warne
Ipswich Town,Kieran McKenna
Perugia,Fabrizio Castori
Nîmes,Nicolas Usaï
Nîmes Olympique,Nicolas Usaï
Austria Wien,Manfred Schmid
FK Austria Wien,Manfred Schmid
AGF,Uwe Rösler
Aarhus GF,Uwe Rösler
Rosenborg,Kjetil André Rekdal
Rosenborg BK,Kjetil André Rekdal
Racing Santander,Guillermo Fernández Romo
Colorado Rapids,Robin Fraser
Häcken,Per-Mathias Høgmo
BK Häcken,Per-Mathias Høgmo
Luzern,Mario Frick
FC Luzern,Mario Frick
Seoul,Ik-Soo Ahn
FC Seoul,Ik-Soo Ahn
Suwon Bluewings,Byung-Geun Lee
Suwon Samsung Bluewings,Byung-Geun Lee
Randers,Thomas Thomasberg
Randers FC,Thomas Thomasberg
Rotherham United,Matthew Taylor
Sheffield Wednesday,Darren Moore
Amiens SC,Philippe Hinschberger
Albacete,Rubén Albés Yáñez
Albacete BP,Rubén Albés Yáñez
FC Groningen,Frank Wormuth
Peterborough United,Grant McCann
AS Eupen,Edward Still
Sporting Charleroi,Edward Still
Royal Charleroi S.C.,Edward Still
Lugano,Mattia Croci-Torti
FC Lugano,Mattia Croci-Torti
Sparta Rotterdam,Maurice Steijn
